
==============================================================================
BUDGET RATE CONSUMPTION AUDIT — FR 3250117351, Fund 3110111021
==============================================================================

## 1. FR positions (53 total)
   Applicable (BR ratio 1.09529): 53
   Bypassed   (identity ratio 1): 0
   Consumed positions:            47
   Open positions:                6

   RFPOS  GJAHR      sum_FKBTR      sum_TRBTR     ratio    status            class
   0605828435   2025 012 66  USD       -80.44     -80.44         BYPASSED  Carbon_non-staff Q4/2025_
   0605828436   2025 012 66  USD       -43.90     -43.90         BYPASSED  Carbon_non-staff Q4/2025_
   0605828437   2025 012 66  USD       -45.89     -45.89         BYPASSED  Carbon_non-staff Q4/2025_
   0605828438   2025 012 66  USD       -97.97     -97.97         BYPASSED  Carbon_non-staff Q4/2025_
   0605828439   2025 012 66  USD       -56.48     -56.48         BYPASSED  Carbon_non-staff Q4/2025_
   0605828440   2025 012 66  USD       -93.05     -93.05         BYPASSED  Carbon_non-staff Q4/2025_
   0605828441   2025 012 66  USD       -91.70     -91.70         BYPASSED  Carbon_non-staff Q4/2025_
   0605828442   2025 012 66  USD       -77.48     -77.48         BYPASSED  Carbon_non-staff Q4/2025_
   0605828443   2025 012 66  USD      -174.79    -174.79         BYPASSED  Carbon_non-staff Q4/2025_
   0605828444   2025 012 66  USD      -121.56    -121.56         BYPASSED  Carbon_non-staff Q4/2025_
   0605828445   2025 012 66  USD       -73.52     -73.52         BYPASSED  Carbon_non-staff Q4/2025_
   0605828446   2025 012 66  USD       -62.97     -62.97         BYPASSED  Carbon_non-staff Q4/2025_
   0605828447   2025 012 66  USD      -152.54    -152.54         BYPASSED  Carbon_non-staff Q4/2025_
   0605828448   2025 012 66  USD       -53.30     -53.30         BYPASSED  Carbon_non-staff Q4/2025_
   0605828886   2025 012 54  USD       -25.03     -25.03         BYPASSED  STANTIERU/IANA/SHS/PARIS
   0605838271   2025 012 54  USD       -25.03     -25.03         BYPASSED  JULIACI NOCCHI/MAR/pax/PARIS PORTE MAILLOT

  -> JSON saved to Zagentexecution/incidents/INC_budget_rate_eq_guinea/br_consumption_audit.json
