batch_no,rule_id,item_count,run_date,run_id,batch_sum,currency,status_guid,created_by,created_on,approved_by,approved_on,paying_co_code,house_bank,created_time,user_pattern
0000027430,UNES_AP_10,00045,20260325,00006B,454975.19,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,121014,HQ weekly AP operator (Wednesday cycle)
0000027431,UNES_AP_10,00004,20260325,00006B,4613.92,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,121030,HQ weekly AP operator (Wednesday cycle)
0000027432,UNES_AP_10,00046,20260325,00006B,114790.02,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,121032,HQ weekly AP operator (Wednesday cycle)
0000027433,UNES_AP_10,00001,20260325,00006B,299.20,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,121048,HQ weekly AP operator (Wednesday cycle)
0000027434,UNES_AP_10,00009,20260325,00006B,24039.23,USD,005056BEA1661FD1,C_LOPEZ,20260325,C_LOPEZ,20260325,UNES,SOG01,121050,HQ weekly AP operator (Wednesday cycle)
0000027438,UBO_AP_MAX,00001,20260325,00034B,29141.81,BRL,005056BEA1661FD1,E_AMARAL,20260325,E_AMARAL,20260325,UBO,CIT01,160158,UBO Brazil field office (UBO_AP_MAX)
0000027405,UNES_AP_10,00004,20260324,00002B,13105.45,USD,005056BEA1661FD1,C_LOPEZ,20260324,C_LOPEZ,20260324,UNES,CIT04,105602,HQ weekly AP operator (Wednesday cycle)
0000027406,UNES_AP_10,00002,20260324,00002B,11243.74,USD,005056BEA1661FD1,C_LOPEZ,20260324,C_LOPEZ,20260324,UNES,CIT04,105603,HQ weekly AP operator (Wednesday cycle)
0000027391,UBO_AP_MAX,00001,20260323,00004B,876.00,BRL,00505690518F1FE1,E_AMARAL,20260323,E_AMARAL,20260323,UBO,CIT01,164118,UBO Brazil field office (UBO_AP_MAX)
0000027386,UBO_AP_MAX,00050,20260323,00001B,702758.79,BRL,005056BEA1661FD1,E_AMARAL,20260323,E_AMARAL,20260323,UBO,CIT01,164059,UBO Brazil field office (UBO_AP_MAX)
0000027389,UBO_AP_MAX,00005,20260323,00001B,5324.35,BRL,005056BEA1661FD1,E_AMARAL,20260323,E_AMARAL,20260323,UBO,CIT01,164106,UBO Brazil field office (UBO_AP_MAX)
0000027390,UBO_AP_MAX,00001,20260323,00003B,2113.93,BRL,005056BEA1661FD1,E_AMARAL,20260323,E_AMARAL,20260323,UBO,CIT01,164112,UBO Brazil field office (UBO_AP_MAX)
0000027380,UBO_AP_MAX,00055,20260319,00006B,774688.17,BRL,00505690518F1FE1,E_AMARAL,20260319,E_AMARAL,20260319,UBO,CIT01,164951,UBO Brazil field office (UBO_AP_MAX)
0000027382,UBO_AP_MAX,00003,20260319,00006B,4953.87,BRL,00505690518F1FE1,E_AMARAL,20260319,E_AMARAL,20260319,UBO,CIT01,164957,UBO Brazil field office (UBO_AP_MAX)
0000027358,UNES_AP_10,00004,20260318,00001B,39785.33,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103105,HQ weekly AP operator (Wednesday cycle)
0000027359,UNES_AP_10,00046,20260318,00001B,704146.15,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103108,HQ weekly AP operator (Wednesday cycle)
0000027360,UNES_AP_10,00030,20260318,00001B,163960.05,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,CIT04,103124,HQ weekly AP operator (Wednesday cycle)
0000027361,UNES_AP_EX,00001,20260318,00001B,276.64,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,CIT04,103124,HQ weekly AP operator (Wednesday cycle)
0000027363,UNES_AP_10,00229,20260318,00001B,2148525.67,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103129,HQ weekly AP operator (Wednesday cycle)
0000027364,UNES_AP_10,00005,20260318,00001B,17540.87,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG03,103133,HQ weekly AP operator (Wednesday cycle)
0000027365,UNES_AP_10,00001,20260318,00001B,15000.00,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG03,103136,HQ weekly AP operator (Wednesday cycle)
0000027366,UNES_AP_10,00001,20260318,00001B,6598.79,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG03,103139,HQ weekly AP operator (Wednesday cycle)
0000027367,UNES_AP_10,00002,20260318,00001B,12789.79,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103141,HQ weekly AP operator (Wednesday cycle)
0000027368,UNES_AP_10,00048,20260318,00001B,675184.04,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103143,HQ weekly AP operator (Wednesday cycle)
0000027369,UNES_AP_10,00002,20260318,00001B,7530.00,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,CIT21,103159,HQ weekly AP operator (Wednesday cycle)
0000027370,UNES_AP_10,00001,20260318,00001B,20422.80,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103201,HQ weekly AP operator (Wednesday cycle)
0000027371,UNES_AP_10,00045,20260318,00001B,140837.70,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103203,HQ weekly AP operator (Wednesday cycle)
0000027372,UNES_AP_10,00001,20260318,00001B,1010.00,USD,005056BEA1661FD1,I_MARQUAND,20260318,I_MARQUAND,20260318,UNES,SOG01,103219,HQ weekly AP operator (Wednesday cycle)
0000027355,UBO_AP_MAX,00071,20260317,00004B,860546.00,BRL,00505690518F1FE1,E_AMARAL,20260317,E_AMARAL,20260317,UBO,CIT01,163420,UBO Brazil field office (UBO_AP_MAX)
0000027357,UBO_AP_MAX,00003,20260317,00004B,11505.18,BRL,00505690518F1FE1,E_AMARAL,20260317,E_AMARAL,20260317,UBO,CIT01,163428,UBO Brazil field office (UBO_AP_MAX)
0000027352,UNES_AP_10,00009,20260317,00001B,9186.95,USD,005056BEA1661FD1,I_MARQUAND,20260317,I_MARQUAND,20260317,UNES,CIT04,103015,HQ weekly AP operator (Wednesday cycle)
0000027353,UNES_AP_10,00003,20260317,00001B,9370.46,USD,005056BEA1661FD1,I_MARQUAND,20260317,I_MARQUAND,20260317,UNES,CIT04,103016,HQ weekly AP operator (Wednesday cycle)
0000027354,UNES_AP_EX,00000,20260317,00001B,0.00,USD,005056BEA1661FD1,I_MARQUAND,20260317,I_MARQUAND,20260317,UNES,CIT04,103016,HQ weekly AP operator (Wednesday cycle)
0000027343,PAYROLL,00087,20260313,00005B,102994.16,USD,005056BEA1661FD1,F_DERAKHSHAN,20260313,F_DERAKHSHAN,20260313,UNES,SOG01,151810,Payroll solo operator
0000027344,PAYROLL,00002,20260313,00005B,8536.05,USD,005056BEA1661FD1,F_DERAKHSHAN,20260313,F_DERAKHSHAN,20260313,UNES,SOG01,151812,Payroll solo operator
0000027345,UBO_AP_MAX,00043,20260313,00008B,559838.51,BRL,005056BEA1661FD1,E_AMARAL,20260313,E_AMARAL,20260313,UBO,CIT01,161937,UBO Brazil field office (UBO_AP_MAX)
0000027347,UBO_AP_MAX,00002,20260313,00008B,6673.37,BRL,005056BEA1661FD1,E_AMARAL,20260313,E_AMARAL,20260313,UBO,CIT01,161941,UBO Brazil field office (UBO_AP_MAX)
0000027315,UNES_AP_10,00052,20260311,00001B,290876.26,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,CIT04,113653,HQ weekly AP operator (Wednesday cycle)
0000027317,UNES_AP_EX,00001,20260311,00001B,150.50,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,CIT04,113653,HQ weekly AP operator (Wednesday cycle)
0000027318,UNES_AP_IK,00002,20260311,00001B,2798.00,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,CIT04,113653,HQ weekly AP operator (Wednesday cycle)
0000027319,UNES_AP_10,00225,20260311,00001B,2240679.06,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113659,HQ weekly AP operator (Wednesday cycle)
0000027321,UNES_AP_EX,00003,20260311,00001B,3000.00,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113659,HQ weekly AP operator (Wednesday cycle)
0000027322,UNES_AP_10,00001,20260311,00001B,1197.72,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113704,HQ weekly AP operator (Wednesday cycle)
0000027323,UNES_AP_10,00049,20260311,00001B,892613.02,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113706,HQ weekly AP operator (Wednesday cycle)
0000027324,UNES_AP_10,00002,20260311,00001B,86834.07,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG03,113720,HQ weekly AP operator (Wednesday cycle)
0000027325,UNES_AP_10,00007,20260311,00001B,13827.96,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG03,113722,HQ weekly AP operator (Wednesday cycle)
0000027326,UNES_AP_10,00002,20260311,00001B,21464.13,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG03,113726,HQ weekly AP operator (Wednesday cycle)
0000027327,UNES_AP_10,00049,20260311,00001B,620819.96,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113728,HQ weekly AP operator (Wednesday cycle)
0000027328,UNES_AP_EX,00001,20260311,00001B,3500.00,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113728,HQ weekly AP operator (Wednesday cycle)
0000027329,UNES_AP_10,00047,20260311,00001B,124764.89,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113744,HQ weekly AP operator (Wednesday cycle)
0000027330,UNES_AP_EX,00001,20260311,00001B,3080.00,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113744,HQ weekly AP operator (Wednesday cycle)
0000027333,UNES_AP_10,00025,20260311,00001B,58382.37,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113804,HQ weekly AP operator (Wednesday cycle)
0000027331,UNES_AP_10,00003,20260311,00001B,9979.93,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,CIT21,113801,HQ weekly AP operator (Wednesday cycle)
0000027332,UNES_AP_10,00002,20260311,00001B,2375.93,USD,005056BEA1661FD1,I_MARQUAND,20260311,I_MARQUAND,20260311,UNES,SOG01,113802,HQ weekly AP operator (Wednesday cycle)
0000027314,UNES_AP_10,00014,20260310,00001B,27321.00,USD,00505690518F1FE1,I_MARQUAND,20260310,I_MARQUAND,20260310,UNES,CIT04,110104,HQ weekly AP operator (Wednesday cycle)
0000027312,UBO_AP_MAX,00034,20260309,00001B,567646.85,BRL,005056BEA1661FD1,E_AMARAL,20260309,E_AMARAL,20260309,UBO,CIT01,161718,UBO Brazil field office (UBO_AP_MAX)
0000027303,UNES_AP_10,00004,20260305,00002B,128701.35,USD,00505690518F1FE1,I_MARQUAND,20260305,I_MARQUAND,20260305,UNES,SOG01,100103,HQ weekly AP operator (Wednesday cycle)
0000027304,UNES_AP_10,00001,20260305,00002B,43417.64,USD,00505690518F1FE1,I_MARQUAND,20260305,I_MARQUAND,20260305,UNES,SOG01,100105,HQ weekly AP operator (Wednesday cycle)
0000027305,UNES_AP_10,00001,20260305,00002B,13710.74,USD,00505690518F1FE1,I_MARQUAND,20260305,I_MARQUAND,20260305,UNES,CIT04,100107,HQ weekly AP operator (Wednesday cycle)
0000027310,UBO_AP_MAX,00072,20260305,00009B,1100012.11,BRL,00505690518F1FE1,E_AMARAL,20260305,E_AMARAL,20260305,UBO,CIT01,161051,UBO Brazil field office (UBO_AP_MAX)
0000027280,UNES_AP_10,00001,20260304,00001B,10968.12,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112027,HQ weekly AP operator (Wednesday cycle)
0000027281,UNES_AP_10,00049,20260304,00001B,1030000.17,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112029,HQ weekly AP operator (Wednesday cycle)
0000027282,UNES_AP_10,00224,20260304,00001B,1577731.07,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112048,HQ weekly AP operator (Wednesday cycle)
0000027283,UNES_AP_10,00003,20260304,00001B,7971.10,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,CIT21,112053,HQ weekly AP operator (Wednesday cycle)
0000027284,UNES_AP_10,00056,20260304,00001B,141264.38,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,CIT04,112054,HQ weekly AP operator (Wednesday cycle)
0000027285,UNES_AP_EX,00001,20260304,00001B,2470.00,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,CIT04,112054,HQ weekly AP operator (Wednesday cycle)
0000027286,UNES_AP_IK,00002,20260304,00001B,2936.68,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,CIT04,112054,HQ weekly AP operator (Wednesday cycle)
0000027287,UNES_AP_10,00003,20260304,00001B,36830.46,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG03,112100,HQ weekly AP operator (Wednesday cycle)
0000027288,UNES_AP_10,00002,20260304,00001B,1984.00,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG03,112103,HQ weekly AP operator (Wednesday cycle)
0000027289,UNES_AP_10,00005,20260304,00001B,36048.67,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG03,112106,HQ weekly AP operator (Wednesday cycle)
0000027290,UNES_AP_10,00001,20260304,00001B,5188.03,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG03,112110,HQ weekly AP operator (Wednesday cycle)
0000027291,UNES_AP_10,00005,20260304,00001B,25082.38,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG03,112112,HQ weekly AP operator (Wednesday cycle)
0000027292,UNES_AP_10,00007,20260304,00001B,14544.54,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112117,HQ weekly AP operator (Wednesday cycle)
0000027293,UNES_AP_10,00042,20260304,00001B,269941.33,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112122,HQ weekly AP operator (Wednesday cycle)
0000027294,UNES_AP_EX,00001,20260304,00001B,5000.00,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112122,HQ weekly AP operator (Wednesday cycle)
0000027295,UNES_AP_10,00002,20260304,00001B,6257.38,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112139,HQ weekly AP operator (Wednesday cycle)
0000027296,UNES_AP_10,00043,20260304,00001B,133342.63,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112141,HQ weekly AP operator (Wednesday cycle)
0000027298,UNES_AP_EX,00002,20260304,00001B,4200.00,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112141,HQ weekly AP operator (Wednesday cycle)
0000027299,UNES_AP_10,00001,20260304,00001B,420.00,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112202,HQ weekly AP operator (Wednesday cycle)
0000027300,UNES_AP_10,00048,20260304,00001B,158331.95,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112204,HQ weekly AP operator (Wednesday cycle)
0000027301,UNES_AP_10,00014,20260304,00001B,8864.65,USD,00505690518F1FE1,I_MARQUAND,20260304,I_MARQUAND,20260304,UNES,SOG01,112222,HQ weekly AP operator (Wednesday cycle)
0000027273,UNES_AP_10,00011,20260303,00001B,11439.71,USD,00505690518F1FE1,I_MARQUAND,20260303,I_MARQUAND,20260303,UNES,CIT04,095030,HQ weekly AP operator (Wednesday cycle)
0000027274,UNES_AP_10,00004,20260303,00001B,15219.99,USD,00505690518F1FE1,I_MARQUAND,20260303,I_MARQUAND,20260303,UNES,CIT04,095032,HQ weekly AP operator (Wednesday cycle)
0000027275,UBO_AP_MAX,00066,20260303,00005B,730984.20,BRL,00505690518F1FE1,E_AMARAL,20260303,E_AMARAL,20260303,UBO,CIT01,162804,UBO Brazil field office (UBO_AP_MAX)
0000027276,UBO_AP_MAX,00002,20260303,00005B,6938.00,BRL,00505690518F1FE1,E_AMARAL,20260303,E_AMARAL,20260303,UBO,CIT01,162810,UBO Brazil field office (UBO_AP_MAX)
0000027278,UBO_AP_MAX,00001,20260303,00006B,4743.28,BRL,005056BEA1661FD1,E_AMARAL,20260303,E_AMARAL,20260303,UBO,CIT01,162812,UBO Brazil field office (UBO_AP_MAX)
0000027270,UNES_AP_10,00002,20260302,00001B,292065.52,USD,00505690518F1FE1,I_MARQUAND,20260302,I_MARQUAND,20260302,UNES,SOG01,122054,HQ weekly AP operator (Wednesday cycle)
0000027271,UNES_AP_10,00001,20260302,00001B,666.33,USD,00505690518F1FE1,I_MARQUAND,20260302,I_MARQUAND,20260302,UNES,SOG03,122055,HQ weekly AP operator (Wednesday cycle)
0000027263,PAYROLL,00082,20260227,00006B,125059.47,USD,00505690518F1FE1,F_DERAKHSHAN,20260227,F_DERAKHSHAN,20260227,UNES,SOG01,151526,Payroll solo operator
0000027264,PAYROLL,00002,20260227,00006B,6692.05,USD,00505690518F1FE1,F_DERAKHSHAN,20260227,F_DERAKHSHAN,20260227,UNES,SOG01,151529,Payroll solo operator
0000027267,UBO_AP_MAX,00001,20260227,00010B,800.02,BRL,00505690518F1FE1,E_AMARAL,20260227,E_AMARAL,20260227,UBO,CIT01,154012,UBO Brazil field office (UBO_AP_MAX)
0000027265,UBO_AP_MAX,00058,20260227,00009B,752663.97,BRL,005056BEA1661FD1,E_AMARAL,20260227,E_AMARAL,20260227,UBO,CIT01,154004,UBO Brazil field office (UBO_AP_MAX)
0000027268,UBO_AP_MAX,00005,20260227,00009B,17793.78,BRL,005056BEA1661FD1,E_AMARAL,20260227,E_AMARAL,20260227,UBO,CIT01,154011,UBO Brazil field office (UBO_AP_MAX)
0000027269,UBO_AP_MAX,00001,20260227,00011B,872.02,BRL,005056BEA1661FD1,E_AMARAL,20260227,E_AMARAL,20260227,UBO,CIT01,154018,UBO Brazil field office (UBO_AP_MAX)
0000027224,UNES_AP_10,00002,20260225,00001B,42878.41,USD,005056BEA1661FD1,I_MARQUAND,20260225,I_MARQUAND,20260225,UNES,CIT04,101455,HQ weekly AP operator (Wednesday cycle)
0000027226,UNES_AP_10,00003,20260225,00001B,54593.79,USD,005056BEA1661FD1,I_MARQUAND,20260225,I_MARQUAND,20260225,UNES,SOG01,101457,HQ weekly AP operator (Wednesday cycle)
0000027228,UNES_AP_10,00002,20260225,00001B,24213.49,USD,005056BEA1661FD1,I_MARQUAND,20260225,I_MARQUAND,20260225,UNES,SOG01,101458,HQ weekly AP operator (Wednesday cycle)
0000027233,UNES_AP_10,00055,20260225,00012B,405711.23,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,CIT04,121508,HQ weekly AP operator (Wednesday cycle)
0000027235,UNES_AP_EX,00001,20260225,00012B,65.19,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,CIT04,121508,HQ weekly AP operator (Wednesday cycle)
0000027236,UNES_AP_IK,00001,20260225,00012B,38769.76,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,CIT04,121508,HQ weekly AP operator (Wednesday cycle)
0000027237,UNES_AP_10,00239,20260225,00012B,1700385.68,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121514,HQ weekly AP operator (Wednesday cycle)
0000027238,UNES_AP_10,00003,20260225,00012B,9429.44,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121519,HQ weekly AP operator (Wednesday cycle)
0000027239,UNES_AP_10,00047,20260225,00012B,388413.80,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121523,HQ weekly AP operator (Wednesday cycle)
0000027240,UNES_AP_10,00001,20260225,00012B,137.99,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG03,121539,HQ weekly AP operator (Wednesday cycle)
0000027241,UNES_AP_10,00004,20260225,00012B,10190.67,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG03,121540,HQ weekly AP operator (Wednesday cycle)
0000027242,UNES_AP_10,00002,20260225,00012B,1841.96,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG03,121543,HQ weekly AP operator (Wednesday cycle)
0000027243,UNES_AP_10,00004,20260225,00012B,9448.65,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG03,121545,HQ weekly AP operator (Wednesday cycle)
0000027244,UNES_AP_10,00003,20260225,00012B,55830.45,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121547,HQ weekly AP operator (Wednesday cycle)
0000027245,UNES_AP_10,00047,20260225,00012B,526818.36,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121550,HQ weekly AP operator (Wednesday cycle)
0000027246,UNES_AP_10,00007,20260225,00012B,19495.97,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121604,HQ weekly AP operator (Wednesday cycle)
0000027247,UNES_AP_10,00043,20260225,00012B,178001.52,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121607,HQ weekly AP operator (Wednesday cycle)
0000027248,UNES_AP_10,00001,20260225,00012B,4500.00,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,CIT21,121620,HQ weekly AP operator (Wednesday cycle)
0000027249,UNES_AP_10,00003,20260225,00012B,10828.00,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121621,HQ weekly AP operator (Wednesday cycle)
0000027250,UNES_AP_10,00047,20260225,00012B,103957.38,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121623,HQ weekly AP operator (Wednesday cycle)
0000027251,UNES_AP_10,00002,20260225,00012B,1495.96,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121644,HQ weekly AP operator (Wednesday cycle)
0000027252,UNES_AP_10,00011,20260225,00012B,8799.24,USD,005056BEA1661FD1,C_LOPEZ,20260225,C_LOPEZ,20260225,UNES,SOG01,121646,HQ weekly AP operator (Wednesday cycle)
