NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,CV_RULE,DATA_TYPE,LENGTH
N_7595589420,N_6289915400,DOC1T,ATOM,FPAYH,DOC1T,,,,C,0002
N_7609981350,N_9412627890,TwnNm,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0000
N_7631742550,N_1489713350,DbtrAgt,ELEM,,,,,,C,0000
N_8000297680,N_6289915400,DOC1R(2),ATOM,FPAYH,DOC1R,,,,C,0001
N_8033474340,N_6289915400,DOC1R(3),ATOM,FPAYH,DOC1R,,,,C,0001
N_8123082880,N_9145273120,CdtrAgt,ELEM,,,,,,C,0000
N_8313338750,N_1348246140,ISO,ATOM,,,,http://www.w3.org/2001/XMLSchema-instance,,C,0070
N_8516624060,N_0176201200,Ccy,XMAT,FPAYHX,WAERS,,,,C,0000
N_8648256460,N_2590134600,PAYD2,ATOM,DMEE_PAYD,TEXT,,,CL RP    X,C,0035
N_8690323650,N_9412627890,SubDept,ELEM,,,Y_FI_DMEE_ADR,,CL       X,C,0000
N_8692994050,N_1489713350,CtrlSum,ELEM,,,,,AL.2,P,0018
N_8885067030,N_3904828830,BIC,ELEM,FPAYHX,USWIF,,,,C,0000
N_8921987690,N_1489713350,NbOfTxs,ELEM,,,,,CL   R0,N,0008
N_9051497000,N_7493536070,REFERENCE1,ATOM,DMEE_PAYD,TEXT,,,CL RP    X,C,0032
N_9079232430,N_0179888070,-,ATOM,,,,-,CL,C,0001
N_9119400740,N_1600557490,BIC,ELEM,FPAYH,ZSWIF,,,,C,0000
N_9145273120,N_1489713350,CdtTrfTxInf,ELEM,,,,,,C,0000
N_9154022450,N_3212123950,YYYY,ATOM,FPAYH,AUSFD,,,CL,C,0004
N_9198189290,N_1489713350,PmtInfId,ELEM,FPAYHX,RENUM,ZDMEE_EXIT_SEPA_21,,,C,0016
N_9218834580,N_4788773110,Nm,ELEM,,,,,CLURP    X,C,0000
N_9268732240,N_9412627890,-PstlAdr_More_Nodes,TECH,,,FI_CGI_DMEE_EXIT_W_BADI,,,C,0000
N_9412627890,N_9481469990,PstlAdr,ELEM,,,,,,C,0000
N_9481469990,N_1489713350,Dbtr,ELEM,,,,,,C,0000
N_9746682670,N_1761132200,NAMEZ,ATOM,FPAYHX,NAMEZ,,,CL RP    X,C,0000
N_9840226220,N_4754354180,PstCd,ELEM,FPAYH,ZPSTL,,,CLURP    X,C,0010
N_9866937420,N_9218834580,ZNME1,ATOM,FPAYH,ZNME1,,,CLURP    X,C,0070
N_9926185740,N_9481469990,-PstlAdr,TECH,,,FI_CGI_DMEE_EXIT_W_BADI,,,C,0000
N_9961450310,N_7251154690,GrpHdr,ELEM,,,,,,C,0000
