NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,TREE_ID,VERSION,LEV,FIRSTCHILD_ID,LENGTH,MP_OFFSET,MP_SC_OFFSET,CV_RULE,TAB_KEYFLD,MP_SELECTION,DATA_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,REF_NAME,MP_IF_TP,BROTHER_ID
N_2225536670,N_0179888070,-,ATOM,/SEPA_CT_UNES,001,000,,0001,007,000,CL,,1,C,,,,-,,,N_0843213020
N_2225746230,N_9926185740,Ctry,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYHX,LAND1,,,,1,N_4946758140
N_2257360070,N_6289915400,DOC1R(rest),ATOM,/SEPA_CT_UNES,001,000,,0020,003,004,,,2,C,FPAYH,DOC1R,,,,1,
N_2378752350,N_7493536070,REFERENCE4,ATOM,/SEPA_CT_UNES,001,000,,0032,000,000,CL RP    X,1,2,C,DMEE_PAYD,TEXT,,,,3,
N_2411404380,N_9481469990,Nm,ELEM,/SEPA_CT_UNES,001,000,,0040,000,000,CL RP    X,,2,C,FPAYHX,NAMEZ,,,,1,N_9926185740
N_2411930340,N_9145273120,PmtRef,TECH,/SEPA_CT_UNES,001,000,,0000,000,000,,,5,C,,,DMEE_EXIT_SEPA_31,,,,
N_2470231520,N_7493536070,PAYD3,ATOM,/SEPA_CT_UNES,001,000,,0012,000,000,CL RP    X,3,2,C,DMEE_PAYD,TEXT,,,,3,N_9051497000
N_2590134600,N_6025412550,EndToEndId,ELEM,/SEPA_CT_UNES,001,000,N_8648256460,0000,000,000,,,6,C,,,,,,,
N_2703639030,N_9926185740,PstCd,ELEM,/SEPA_CT_UNES,001,002,,0010,000,080,CL RP    X,,2,C,FPAYHX,REF01,,,,1,N_7609981350
N_2790093090,N_4754354180,Ctry,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYHX,ZLISO,,,,1,N_6054982000
N_3166789840,N_7315391560,Nm,ELEM,/SEPA_CT_UNES,001,000,,0040,000,000,CLURP    X,,2,C,FPAYP,BNAME,,,,1,
N_3212123950,N_1489713350,ReqdExctnDt,ELEM,/SEPA_CT_UNES,001,002,N_9154022450,0010,000,000,,,6,C,,,,,,,N_9481469990
N_3311263550,N_6389156500,Para,ATOM,/SEPA_CT_UNES,001,000,,0070,000,000,,,2,C,FPM_SEPA,XMLNS,,,,4,
N_3513093480,N_4754354180,StrtNm,ELEM,/SEPA_CT_UNES,001,000,,0060,000,000,CLURP    X,,2,C,FPAYH,ZSTRA,,,,1,N_4704385380
N_3751282570,N_0179888070,T,ATOM,/SEPA_CT_UNES,001,000,,0001,010,000,CL,,1,C,,,,T,,,N_5068303050
N_3895768940,N_1489713350,ChrgBr,ELEM,/SEPA_CT_UNES,001,002,,0000,000,000,,,1,C,,,,SLEV,,,N_9145273120
N_3904828830,N_7631742550,FinInstnId,ELEM,/SEPA_CT_UNES,001,000,N_8885067030,0000,000,000,,,8,C,,,,,,,
N_3963698540,N_1781756050,Nm,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,CL RP    X,,2,C,FPAYP,NAME1,,,,1,
N_4457909410,N_9961450310,InitgPty,ELEM,/SEPA_CT_UNES,001,001,N_1761132200,0000,000,000,,,8,C,,,,,,,
N_4604210940,N_6289915400,DOC1R(1),ATOM,/SEPA_CT_UNES,001,000,,0001,000,000,,,2,C,FPAYH,DOC1R,,,,1,N_8000297680
N_4704385380,N_4754354180,BldgNb,ELEM,/SEPA_CT_UNES,001,000,,0010,000,100,CLURP    X,,2,C,FPAYP,REF01,,,,1,N_9840226220
N_4754354180,N_4788773110,PstlAdr,ELEM,/SEPA_CT_UNES,001,000,N_3513093480,0000,000,000,,,8,C,,,,,,,
N_4788773110,N_9145273120,Cdtr,ELEM,/SEPA_CT_UNES,001,003,N_9218834580,0000,000,000,,,8,C,,,,,,,N_1114124980
N_4799051040,N_7493536070,REFERENCE2,ATOM,/SEPA_CT_UNES,001,000,,0032,000,000,CL RP    X,1,2,C,DMEE_PAYD,TEXT,,,,3,N_0933751040
N_4864286940,N_3212123950,-,ATOM,/SEPA_CT_UNES,001,000,,0001,007,000,CL,,1,C,,,,-,,,N_1374946860
N_4880705930,ROOT,Document,ELEM,/SEPA_CT_UNES,001,001,N_6389156500,0000,000,000,,,8,C,,,,,,,
N_4907943150,N_3212123950,DD,ATOM,/SEPA_CT_UNES,001,000,,0002,008,006,CL,,2,C,FPAYH,AUSFD,,,,1,
N_4946758140,N_9926185740,AdrLine,ELEM,/SEPA_CT_UNES,001,000,,0070,000,000,CL RP    X,,2,C,FPAYHX,ORT1Z,,,,1,
N_5068303050,N_0179888070,Time,ATOM,/SEPA_CT_UNES,001,000,,0008,011,000,T:HHMMSS,,2,C,SYST,TIMLO,,,,5,
N_5298508320,N_3212123950,-,ATOM,/SEPA_CT_UNES,001,000,,0001,004,000,CL,,1,C,,,,-,,,N_4907943150
N_5323647340,N_7251154690,PmtTrailer,TECH,/SEPA_CT_UNES,001,002,,0000,000,000,,,5,C,,,DMEE_EXIT_SEPA_41,,,,
N_5566338990,N_9961450310,MsgId,ELEM,/SEPA_CT_UNES,001,001,,0016,000,000,,,2,C,FPAYHX,RENUM,,,,1,N_0179888070
N_5757152900,N_7192103500,SvcLvl,ELEM,/SEPA_CT_UNES,001,000,N_2147266940,0000,000,000,,,8,C,,,,,,,
N_5832864770,N_1769383930,Ccy,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYHX,UBWAE,,,,1,
N_5958302950,N_1761132200,AUST1,ATOM,/SEPA_CT_UNES,001,000,,0000,000,000,CL RP    X,,2,C,FPAYHX,AUST1,,,,1,N_9746682670
N_6010401760,N_1348246140,Para,ATOM,/SEPA_CT_UNES,001,000,,0070,000,000,,,2,C,FPM_SEPA,XSI,,,,4,
N_6025412550,N_9145273120,PmtId,ELEM,/SEPA_CT_UNES,001,003,N_6289915400,0000,000,000,,,8,C,,,,,,,N_0206686030
N_6048457700,N_4880705930,xsi:schemaLocation,XMAT,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPM_SEPA,SCHEMALOCATION,,,,4,N_7251154690
N_6054982000,N_4754354180,AdrLine,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,CLURP    X,,2,C,FPAYHX,ZPFST,,,,1,N_6343458710
N_6289915400,N_6025412550,InstrId,ELEM,/SEPA_CT_UNES,001,000,N_7595589420,0000,000,000,,,6,C,,,,,,,N_2590134600
N_6307338780,N_2590134600,NOTPROVIDED,ATOM,/SEPA_CT_UNES,001,000,,0012,000,000,,,1,C,,,,NOTPROVIDED,,,
N_6343458710,N_4754354180,AdrLine,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,CLURP    X,,2,C,FPAYHX,ZPLOR,,,,1,
N_6389156500,N_4880705930,xmlns,XMAT,/SEPA_CT_UNES,001,000,N_6621347550,0000,000,000,,,6,C,,,,,,,N_1348246140
N_6621347550,N_6389156500,ISO,ATOM,/SEPA_CT_UNES,001,000,,0070,000,000,,,1,C,,,,urn:iso:std:iso:20022:tech:xsd:pain.001.001.03,,,N_3311263550
N_6647036830,N_0179888070,YYYY,ATOM,/SEPA_CT_UNES,001,000,,0004,000,000,CL,,2,C,SYST,DATLO,,,,5,N_2225536670
N_6785781300,N_9218834580,KOINH,ATOM,/SEPA_CT_UNES,001,000,,0070,000,000,CLURP    X,,2,C,FPAYH,KOINH,,,KOINH,1,N_9866937420
N_7064046520,N_4754354180,TwnNm,ELEM,/SEPA_CT_UNES,001,000,,0035,000,000,CLURP    X,,2,C,FPAYH,ZORT1,,,,1,N_2790093090
N_7192103500,N_1489713350,PmtTpInf,ELEM,/SEPA_CT_UNES,001,000,N_5757152900,0000,000,000,,,8,C,,,,,,,N_3212123950
N_7251154690,N_4880705930,CstmrCdtTrfInitn,ELEM,/SEPA_CT_UNES,001,001,N_9961450310,0000,000,000,,,8,C,,,,,,,
N_7315391560,N_9145273120,UltmtDbtr,ELEM,/SEPA_CT_UNES,001,000,N_3166789840,0000,000,000,,,8,C,,,,,,,N_8123082880
N_7336576310,N_1489713350,PmtMtd,ELEM,/SEPA_CT_UNES,001,002,,0000,000,000,,,1,C,,,,TRF,,,N_8921987690
N_7493536070,N_0875432660,Ustrd,ELEM,/SEPA_CT_UNES,001,003,N_2470231520,0140,000,000,,1,6,C,DMEE_PAYD,TEXT,,,,3,
N_7551683230,N_1307819380,IBAN,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYHX,UIBAN,,,,1,
N_7595589420,N_6289915400,DOC1T,ATOM,/SEPA_CT_UNES,001,000,,0002,000,000,,,2,C,FPAYH,DOC1T,,,,1,N_0763355730
N_7609981350,N_9926185740,TwnNm,ELEM,/SEPA_CT_UNES,001,002,,0040,000,000,CL RP    X,,2,C,FPAYHX,ORT1Z,,,,1,N_2225746230
N_7631742550,N_1489713350,DbtrAgt,ELEM,/SEPA_CT_UNES,001,002,N_3904828830,0000,000,000,,,8,C,,,,,,,N_3895768940
N_8000297680,N_6289915400,DOC1R(2),ATOM,/SEPA_CT_UNES,001,000,,0001,000,001,,,2,C,FPAYH,DOC1R,,,,1,N_8033474340
N_8033474340,N_6289915400,DOC1R(3),ATOM,/SEPA_CT_UNES,001,000,,0001,000,002,,,2,C,FPAYH,DOC1R,,,,1,N_0856187240
N_8123082880,N_9145273120,CdtrAgt,ELEM,/SEPA_CT_UNES,001,003,N_1600557490,0000,000,000,,,8,C,,,,,,,N_4788773110
N_8313338750,N_1348246140,ISO,ATOM,/SEPA_CT_UNES,001,000,,0070,000,000,,,1,C,,,,http://www.w3.org/2001/XMLSchema-instance,,,N_6010401760
N_8516624060,N_0176201200,Ccy,XMAT,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYHX,WAERS,,,,1,
N_8648256460,N_2590134600,PAYD2,ATOM,/SEPA_CT_UNES,001,000,,0035,000,000,CL RP    X,2,2,C,DMEE_PAYD,TEXT,,,E2E,3,N_6307338780
N_8692994050,N_1489713350,CtrlSum,ELEM,/SEPA_CT_UNES,001,000,,0018,000,000,AL.2,,4,P,,,,,IA2,,N_7192103500
N_8885067030,N_3904828830,BIC,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYHX,USWIF,,,,1,
N_8921987690,N_1489713350,NbOfTxs,ELEM,/SEPA_CT_UNES,001,000,,0008,000,000,CL   R0,,4,N,,,,,TX2,,N_8692994050
N_9051497000,N_7493536070,REFERENCE1,ATOM,/SEPA_CT_UNES,001,000,,0032,000,000,CL RP    X,1,2,C,DMEE_PAYD,TEXT,,,,3,N_4799051040
N_9079232430,N_0179888070,-,ATOM,/SEPA_CT_UNES,001,000,,0001,004,000,CL,,1,C,,,,-,,,N_1420837010
N_9119400740,N_1600557490,BIC,ELEM,/SEPA_CT_UNES,001,000,,0000,000,000,,,2,C,FPAYH,ZSWIF,,,,1,
N_9145273120,N_1489713350,CdtTrfTxInf,ELEM,/SEPA_CT_UNES,001,003,N_6025412550,0000,000,000,,,8,C,,,,,TX,,
N_9154022450,N_3212123950,YYYY,ATOM,/SEPA_CT_UNES,001,000,,0004,000,000,CL,,2,C,FPAYH,AUSFD,,,,1,N_4864286940
N_9198189290,N_1489713350,PmtInfId,ELEM,/SEPA_CT_UNES,001,002,,0016,000,000,,,5,C,FPAYHX,RENUM,ZDMEE_EXIT_SEPA_21,,,1,N_7336576310
N_9218834580,N_4788773110,Nm,ELEM,/SEPA_CT_UNES,001,000,N_6785781300,0000,000,000,CLURP    X,,6,C,,,,,,,N_4754354180
N_9481469990,N_1489713350,Dbtr,ELEM,/SEPA_CT_UNES,001,002,N_2411404380,0000,000,000,,,8,C,,,,,,,N_1769383930
N_9746682670,N_1761132200,NAMEZ,ATOM,/SEPA_CT_UNES,001,000,,0000,000,000,CL RP    X,,2,C,FPAYHX,NAMEZ,,,,1,
N_9840226220,N_4754354180,PstCd,ELEM,/SEPA_CT_UNES,001,000,,0010,000,000,CLURP    X,,2,C,FPAYH,ZPSTL,,,,1,N_7064046520
N_9866937420,N_9218834580,ZNME1,ATOM,/SEPA_CT_UNES,001,000,,0070,000,000,CLURP    X,,2,C,FPAYH,ZNME1,,,,1,
N_9926185740,N_9481469990,PstlAdr,ELEM,/SEPA_CT_UNES,001,000,N_1215903670,0000,000,000,,,8,C,,,,,,,
N_9961450310,N_7251154690,GrpHdr,ELEM,/SEPA_CT_UNES,001,001,N_5566338990,0000,000,000,,,8,C,,,,,,,N_1489713350
