LENGTH,MSG_CLASS_SCREEN,MP_OFFSET,MP_SC_OFFSET,MSG_NUM_EXIT,NODE_TYPE,CV_RULE,X_COMPLTAB,MP_SELECTION,TAB_KEYFLD,CRLF_ONLY,REACT_LEV_SCREEN,MP_SC_TAB,MP_EXIT_FUNC,DATA_TYPE,TREE_TYPE,FIRSTCHILD_ID,PARENT_ID,MSG_CLASS_EXIT,EX_STATUS,ATOM_HANDL,MP_SC_FLD,VERSION,SHIFTED_OUTPUT,SEGM_CR,TDFORM_NAME,NODE_ID,LEV,MP_CUKY_FLD,SEGM_END,INT_DATA_TYPE,LENGTH_IN_BYTES,TECH_NAME,MP_SC_NODE_ATTR,TREE_ID,SEGM_LF,REF_NAME,MP_CUKY_TAB,MSG_NUM_SCREEN,_tree_id,REACT_LEV_EXIT,MP_SC_NODE,MP_CONST,MP_IF_TP,BROTHER_ID,MP_SC_REF_NAME,CK_EXIT_FUNC,CV_SOURCE_FORMAT,TRAILER
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_7551683230,N_1769383930,                    , ,  ,                              ,000, , ,                    ,N_1307819380,000,                              , , ,,Id                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_5832864770,            ,                              ,          , 
0000,                    ,000,000,,XMAT,          ,,6,      , , ,                              ,                              ,C,PAYM,N_8313338750,N_4880705930,                    , ,  ,                              ,000, , ,                    ,N_1348246140,000,                              , , ,,xmlns:xsi                                         ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_6048457700,            ,                              ,          , 
0002,                    ,005,004,,ATOM,CL        ,,2,      , , ,FPAYH                         ,                              ,C,PAYM,            ,N_3212123950,                    , ,  ,AUSFD                         ,000, , ,                    ,N_1374946860,000,                              , , ,,MM                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_5298508320,            ,                              ,          , 
0002,                    ,008,006,,ATOM,CL        ,,2,      , , ,SYST                          ,                              ,C,PAYM,            ,N_0179888070,                    , ,  ,DATLO                         ,000, , ,                    ,N_1420837010,000,                              , , ,,DD                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,5,N_3751282570,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_9198189290,N_7251154690,                    , ,  ,                              ,000, , ,                    ,N_1489713350,002,                              , , ,,PmtInf                                            ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_5323647340,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_9119400740,N_8123082880,                    , ,  ,                              ,000, , ,                    ,N_1600557490,000,                              , , ,,FinInstnId                                        ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_0639541490,N_1114124980,                    , ,  ,                              ,000, , ,                    ,N_1725392490,000,                              , , ,,Id                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,6,      , , ,                              ,                              ,C,PAYM,N_5958302950,N_4457909410,                    , ,  ,                              ,000, , ,                    ,N_1761132200,000,                              , , ,,Nm                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_1307819380,N_1489713350,                    , ,  ,                              ,000, , ,                    ,N_1769383930,002,                              , , ,,DbtrAcct                                          ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_7631742550,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_3963698540,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_1781756050,000,                              , , ,,UltmtCdtr                                         ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_0875432660,            ,                              ,          , 
0008,                    ,000,000,,ELEM,CL   R0   ,,4,      , , ,                              ,                              ,N,PAYM,            ,N_9961450310,                    , ,  ,                              ,000, , ,                    ,N_1863004460,001,                              , , ,,NbOfTxs                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_2063037070,            ,                              ,          , 
0018,                    ,000,000,,ELEM,AL.2      ,,4,      , , ,                              ,                              ,P,PAYM,            ,N_9961450310,                    , ,  ,                              ,000, , ,                    ,N_2063037070,000,                              , , ,,CtrlSum                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_4457909410,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_5757152900,                    , ,  ,                              ,000, , ,                    ,N_2147266940,000,                              , , ,,Cd                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,SEPA                                                                                                                                , ,            ,            ,                              ,          , 
0001,                    ,007,000,,ATOM,CL        ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_0179888070,                    , ,  ,                              ,000, , ,                    ,N_2225536670,000,                              , , ,,-                                                 ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,-                                                                                                                                   , ,N_0843213020,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_9926185740,                    ,2,  ,LAND1                         ,000, , ,                    ,N_2225746230,000,                              , , ,,Ctry                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_4946758140,            ,                              ,          , 
0020,                    ,003,004,,ATOM,          ,,2,      , , ,FPAYH                         ,                              ,C,PAYM,            ,N_6289915400,                    , ,  ,DOC1R                         ,000, , ,                    ,N_2257360070,000,                              , , ,,DOC1R(rest)                                       ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0032,                    ,000,000,,ATOM,CL RP    X,,2,1     , , ,DMEE_PAYD                     ,                              ,C,PAYM,            ,N_7493536070,                    , ,  ,TEXT                          ,000, , ,                    ,N_2378752350,000,                              , , ,,REFERENCE4                                        ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,3,            ,            ,                              ,          , 
0040,                    ,000,000,,ELEM,CL RP    X,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_9481469990,                    , ,  ,NAMEZ                         ,000, , ,                    ,N_2411404380,000,                              , , ,,Nm                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_9926185740,            ,                              ,          , 
0000,                    ,000,000,,TECH,          ,,5,      , , ,                              ,DMEE_EXIT_SEPA_31             ,C,PAYM,            ,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_2411930340,000,                              , , ,,PmtRef                                            ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0012,                    ,000,000,,ATOM,CL RP    X,,2,3     , , ,DMEE_PAYD                     ,                              ,C,PAYM,            ,N_7493536070,                    , ,  ,TEXT                          ,000, , ,                    ,N_2470231520,000,                              , , ,,PAYD3                                             ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,3,N_9051497000,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,6,      , , ,                              ,                              ,C,PAYM,N_8648256460,N_6025412550,                    , ,  ,                              ,000, , ,                    ,N_2590134600,000,                              , , ,,EndToEndId                                        ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_4754354180,                    ,2,  ,ZLISO                         ,000, , ,                    ,N_2790093090,000,                              , , ,,Ctry                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_6054982000,            ,                              ,          , 
0040,                    ,000,000,,ELEM,CLURP    X,,2,      , , ,FPAYP                         ,                              ,C,PAYM,            ,N_7315391560,                    , ,  ,BNAME                         ,000, , ,                    ,N_3166789840,000,                              , , ,,Nm                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0010,                    ,000,000,,ELEM,          ,,6,"     ", , ,                              ,                              ,C,PAYM,N_9154022450,N_1489713350,                    , ,  ,                              ,000, , ,                    ,N_3212123950,002,                              , , ,,ReqdExctnDt                                       ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_9481469990,            ,                              ,          , 
0070,                    ,000,000,,ATOM,          ,,2,      , , ,FPM_SEPA                      ,                              ,C,PAYM,            ,N_6389156500,                    , ,  ,XMLNS                         ,000, , ,                    ,N_3311263550,000,                              , , ,,Para                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,4,            ,            ,                              ,          , 
0001,                    ,010,000,,ATOM,CL        ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_0179888070,                    , ,  ,                              ,000, , ,                    ,N_3751282570,000,                              , , ,,T                                                 ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,T                                                                                                                                   , ,N_5068303050,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_1489713350,                    , ,  ,                              ,000, , ,                    ,N_3895768940,002,                              , , ,,ChrgBr                                            ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,SLEV                                                                                                                                , ,N_9145273120,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_8885067030,N_7631742550,                    , ,  ,                              ,000, , ,                    ,N_3904828830,000,                              , , ,,FinInstnId                                        ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,CL RP    X,,2,      , , ,FPAYP                         ,                              ,C,PAYM,            ,N_1781756050,                    , ,  ,NAME1                         ,000, , ,                    ,N_3963698540,000,                              , , ,,Nm                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_1761132200,N_9961450310,                    , ,  ,                              ,000, , ,                    ,N_4457909410,001,                              , , ,,InitgPty                                          ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0001,                    ,000,000,,ATOM,          ,,2,      , , ,FPAYH                         ,                              ,C,PAYM,            ,N_6289915400,                    , ,  ,DOC1R                         ,000, , ,                    ,N_4604210940,000,                              , , ,,DOC1R(1)                                          ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_8000297680,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_2790093090,N_4788773110,                    , ,  ,                              ,000, , ,                    ,N_4754354180,000,                              , , ,,PstlAdr                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_9218834580,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_4788773110,003,                              , , ,,Cdtr                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_1114124980,            ,                              ,          , 
0032,                    ,000,000,,ATOM,CL RP    X,,2,1     , , ,DMEE_PAYD                     ,                              ,C,PAYM,            ,N_7493536070,                    , ,  ,TEXT                          ,000, , ,                    ,N_4799051040,000,                              , , ,,REFERENCE2                                        ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,3,N_0933751040,            ,                              ,          , 
0001,                    ,007,000,,ATOM,CL        ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_3212123950,                    , ,  ,                              ,000, , ,                    ,N_4864286940,000,                              , , ,,-                                                 ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,-                                                                                                                                   , ,N_1374946860,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_6389156500,ROOT        ,                    , ,  ,                              ,000, , ,                    ,N_4880705930,001,                              , , ,,Document                                          ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0002,                    ,008,006,,ATOM,CL        ,,2,      , , ,FPAYH                         ,                              ,C,PAYM,            ,N_3212123950,                    , ,  ,AUSFD                         ,000, , ,                    ,N_4907943150,000,                              , , ,,DD                                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0070,                    ,000,000,,ELEM,CL RP    X,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_9926185740,                    ,2,  ,ORT1Z                         ,000, , ,                    ,N_4946758140,000,                              , , ,,AdrLine                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0008,                    ,011,000,,ATOM,T:HHMMSS  ,,2,      , , ,SYST                          ,                              ,C,PAYM,            ,N_0179888070,                    , ,  ,TIMLO                         ,000, , ,                    ,N_5068303050,000,                              , , ,,Time                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,5,            ,            ,                              ,          , 
0001,                    ,004,000,,ATOM,CL        ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_3212123950,                    , ,  ,                              ,000, , ,                    ,N_5298508320,000,                              , , ,,-                                                 ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,-                                                                                                                                   , ,N_4907943150,            ,                              ,          , 
0000,                    ,000,000,,TECH,          ,,5,      , , ,                              ,DMEE_EXIT_SEPA_41             ,C,PAYM,            ,N_7251154690,                    , ,  ,                              ,000, , ,                    ,N_5323647340,002,                              , , ,,PmtTrailer                                        ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0016,                    ,000,000,,ELEM,          ,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_9961450310,                    , ,  ,RENUM                         ,000, , ,                    ,N_5566338990,001,                              , , ,,MsgId                                             ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_0179888070,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_2147266940,N_7192103500,                    , ,  ,                              ,000, , ,                    ,N_5757152900,000,                              , , ,,SvcLvl                                            ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_1769383930,                    , ,  ,UBWAE                         ,000, , ,                    ,N_5832864770,000,                              , , ,,Ccy                                               ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0000,                    ,000,000,,ATOM,CL RP    X,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_1761132200,                    , ,  ,AUST1                         ,000, , ,                    ,N_5958302950,000,                              , , ,,AUST1                                             ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_9746682670,            ,                              ,          , 
0070,                    ,000,000,,ATOM,          ,,2,      , , ,FPM_SEPA                      ,                              ,C,PAYM,            ,N_1348246140,                    , ,  ,XSI                           ,000, , ,                    ,N_6010401760,000,                              , , ,,Para                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,4,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_6289915400,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_6025412550,003,                              , , ,,PmtId                                             ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_0206686030,            ,                              ,          , 
0000,                    ,000,000,,XMAT,          ,,2,      , , ,FPM_SEPA                      ,                              ,C,PAYM,            ,N_4880705930,                    , ,  ,SCHEMALOCATION                ,000, , ,                    ,N_6048457700,000,                              , , ,,xsi:schemaLocation                                ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,4,N_7251154690,            ,                              ,          , 
0000,                    ,000,000,,ELEM,CLURP    X,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_4754354180,                    ,2,  ,ZPFST                         ,000, , ,                    ,N_6054982000,000,                              , , ,,AdrLine                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_6343458710,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,6,      , , ,                              ,                              ,C,PAYM,N_7595589420,N_6025412550,                    , ,01,                              ,000, , ,                    ,N_6289915400,000,                              , , ,,InstrId                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_2590134600,            ,                              ,          , 
0012,                    ,000,000,,ATOM,          ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_2590134600,                    , ,  ,                              ,000, , ,                    ,N_6307338780,000,                              , , ,,NOTPROVIDED                                       ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,NOTPROVIDED                                                                                                                         , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,CLURP    X,,2,      , , ,FPAYHX                        ,                              ,C,PAYM,            ,N_4754354180,                    , ,  ,ZPLOR                         ,000, , ,                    ,N_6343458710,000,                              , , ,,AdrLine                                           ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,            ,            ,                              ,          , 
0000,                    ,000,000,,XMAT,          ,,6,      , , ,                              ,                              ,C,PAYM,N_6621347550,N_4880705930,                    , ,  ,                              ,000, , ,                    ,N_6389156500,000,                              , , ,,xmlns                                             ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_1348246140,            ,                              ,          , 
0070,                    ,000,000,,ATOM,          ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_6389156500,                    , ,  ,                              ,000, , ,                    ,N_6621347550,000,                              , , ,,ISO                                               ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,urn:iso:std:iso:20022:tech:xsd:pain.001.001.03                                                                                      , ,N_3311263550,            ,                              ,          , 
0004,                    ,000,000,,ATOM,CL        ,,2,      , , ,SYST                          ,                              ,C,PAYM,            ,N_0179888070,                    , ,  ,DATLO                         ,000, , ,                    ,N_6647036830,000,                              , , ,,YYYY                                              ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,5,N_2225536670,            ,                              ,          , 
0070,                    ,000,000,,ATOM,CLURP    X,,2,      , , ,FPAYH                         ,                              ,C,PAYM,            ,N_9218834580,                    , ,  ,KOINH                         ,000, , ,                    ,N_6785781300,000,                              , , ,,KOINH                                             ,  ,/SEPA_CT_UNES                 , ,KOINH       ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    ,1,N_9866937420,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_5757152900,N_1489713350,                    , ,  ,                              ,000, , ,                    ,N_7192103500,000,                              , , ,,PmtTpInf                                          ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_3212123950,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_9961450310,N_4880705930,                    , ,  ,                              ,000, , ,                    ,N_7251154690,001,                              , , ,,CstmrCdtTrfInitn                                  ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,            ,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,8,      , , ,                              ,                              ,C,PAYM,N_3166789840,N_9145273120,                    , ,  ,                              ,000, , ,                    ,N_7315391560,000,                              , , ,,UltmtDbtr                                         ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,                                                                                                                                    , ,N_8123082880,            ,                              ,          , 
0000,                    ,000,000,,ELEM,          ,,1,      , , ,                              ,                              ,C,PAYM,            ,N_1489713350,                    , ,  ,                              ,000, , ,                    ,N_7336576310,002,                              , , ,,PmtMtd                                            ,  ,/SEPA_CT_UNES                 , ,            ,,   ,/SEPA_CT_UNES, ,            ,TRF                                                                                                                                 , ,N_8921987690,            ,                              ,          , 
